track_title,artist,song_link,tempo,energy,danceability,acousticness,valence,loudness
Hype Boy,NewJeans,https://open.spotify.com/track/0a4MMyCrzT0En247IhqZbD,99.976,0.935,0.593,0.268,0.783,-3.43
Queencard,(G)I-DLE,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC,129.989,0.834,0.815,0.0327,0.692,-2.828
Perfect Night,LE SSERAFIM,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8,136.054,0.82,0.697,0.1,0.502,-4.502
Ditto,NewJeans,https://open.spotify.com/track/3r8RuvgbX9s7ammBn07D3W,133.854,0.641,0.814,0.027,0.183,-5.957
ETA,NewJeans,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,134.971,0.749,0.812,0.108,0.841,-6.389
I AM,IVE,https://open.spotify.com/track/70t7Q6AYG6ZgTYmJWcnkUM,122.002,0.875,0.683,0.0115,0.384,-4.866
Spicy,aespa,https://open.spotify.com/track/3gtlthEgyulDfT8dWdKsnv,114.949,0.898,0.757,0.0138,0.842,-1.247
Blue Flame (2023 Ver.),LE SSERAFIM,https://open.spotify.com/track/2ahp0wvyEzyvgWfOhStHWp,112.046,0.747,0.771,0.023,0.762,-3.407
BATTER UP,BABYMONSTER,https://open.spotify.com/track/3VBj0lzjmhTzVFPEDOjNCG,130.01,0.685,0.903,0.069,0.873,-4.772
Super,SEVENTEEN,https://open.spotify.com/track/3ZpfXyQgcqdSA1TGNc7Ret,137.018,0.88,0.771,0.162,0.347,-4.091
Super Shy,NewJeans,https://open.spotify.com/track/5sdQOyqq2IDhvmx2lHOpwd,149.921,0.817,0.776,0.18,0.515,-6.018
Magnetic,ILLIT,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,131.067,0.668,0.797,0.257,0.69,-5.819
Drama,aespa,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew,131.016,0.872,0.644,0.164,0.378,-1.54
OMG,NewJeans,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE,126.956,0.771,0.804,0.357,0.739,-4.067
LOVE DIVE,IVE,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi,117.941,0.709,0.703,0.00379,0.538,-4.169
CRAZY,LE SSERAFIM,https://open.spotify.com/track/3AoEQRuFf8zVXWqSLo2UOi,130.047,0.899,0.802,0.00953,0.531,-2.223
Pierrot,LE SSERAFIM,https://open.spotify.com/track/411fZBnpfU4eIDIZmDKswx,153.99,0.885,0.8,0.342,0.853,-3.178
1-800-hot-n-fun,LE SSERAFIM,https://open.spotify.com/track/7vjfnsnDXZGK4PSq54ISjc,135.953,0.892,0.752,0.0786,0.88,-3.1
Fantastic Baby,BIGBANG,https://open.spotify.com/track/26eV0R7nbqtlzh316ncU99,130.013,0.841,0.725,0.002,0.582,-3.924
POWER,G-DRAGON,https://open.spotify.com/track/4XsJiRJQAK8TWcZCn0Dxlh,179.749,0.857,0.607,0.164,0.732,-3.287
FEARLESS,LE SSERAFIM,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj,103.971,0.62,0.863,0.0508,0.432,-7.167
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu,104.008,0.875,0.795,0.111,0.375,-4.079
EASY,LE SSERAFIM,https://open.spotify.com/track/2O4Bb2WCkjlTPO827OnBMI,165.004,0.7,0.744,0.189,0.602,-5.154
ANTIFRAGILE,LE SSERAFIM,https://open.spotify.com/track/0bMoNdAnxNR0OuQbGDovrr,105.019,0.784,0.879,0.0759,0.83,-3.944
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,https://open.spotify.com/track/4QhnNyKDsAkXPwHkSnuc89,142.951,0.872,0.663,0.0153,0.626,-5.056
Fire in the belly,LE SSERAFIM,https://open.spotify.com/track/05RlBHEZg1RmL9DnPgv9Qq,119.932,0.779,0.716,0.0106,0.442,-3.735
Smart,LE SSERAFIM,https://open.spotify.com/track/3lwK3WyKAI5bUuGY1OgGbZ,113.076,0.675,0.799,0.115,0.594,-5.474
BANG BANG BANG,BIGBANG,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE,135.01,0.843,0.69,0.0167,0.428,-2.949
What is Love?,TWICE,https://open.spotify.com/track/3zhbXKFjUDw40pTYyCgt1Y,169.966,0.909,0.574,0.0987,0.569,-1.573
like JENNIE,JENNIE,https://open.spotify.com/track/0fK7ie6XwGxQTIkpFoWkd1,130.019,0.743,0.811,0.281,0.815,-5.321
Come Over,LE SSERAFIM,https://open.spotify.com/track/1tI8Ubt5VEMWDoGL08pomF,155.938,0.929,0.666,0.139,0.912,-2.79
Sour Grapes,LE SSERAFIM,https://open.spotify.com/track/6wBpO4Xc4YgShnENGSFA1M,139.998,0.801,0.779,0.395,0.72,-5.564
Cookie,NewJeans,https://open.spotify.com/track/2DwUdMJ5uxv20EhAildreg,156.935,0.638,0.847,0.0596,0.661,-3.764
Impurities,LE SSERAFIM,https://open.spotify.com/track/7mYwDmbbp8UPLlnRjTJ54X,180.126,0.766,0.597,0.244,0.453,-4.192
As If It's Your Last,BLACKPINK,https://open.spotify.com/track/4ZxOuNHhpyOj4gv52MtQpT,125.036,0.852,0.786,0.0687,0.455,-2.687
No Celestial,LE SSERAFIM,https://open.spotify.com/track/21ApmVGIzIAIDSBdHu6SVt,138.028,0.801,0.618,0.0168,0.699,-2.905
Good Parts (when the quality is bad but I am),LE SSERAFIM,https://open.spotify.com/track/1sZBzYhrQG40zcSuKkI93c,121.121,0.679,0.785,0.516,0.616,-4.907
The Great Mermaid,LE SSERAFIM,https://open.spotify.com/track/5XO1SOADQxkdqGLFxX8rLN,94.963,0.824,0.625,0.000884,0.438,-4.619
Cool With You,NewJeans,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,134.993,0.65,0.752,0.653,0.532,-6.683
We got so much,LE SSERAFIM,https://open.spotify.com/track/5fCKBIJ7BwaCpxxwZCbS5X,101.0,0.658,0.686,0.0944,0.353,-3.506
Cherish (My Love),ILLIT,https://open.spotify.com/track/21LtZQQMQYwVIxc9O9Ygq8,142.97,0.821,0.714,0.236,0.303,-3.835
Lucky Girl Syndrome,ILLIT,https://open.spotify.com/track/2kIUILBPlz4exX9xIFS275,119.986,0.915,0.757,0.019,0.439,-4.382
