track_title,song_link,tempo,energy,danceability,acousticness,valence,loudness,like
Enemy (with JID) - from the series Arcane League of Legends,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ,77.011,0.783,0.728,0.237,0.555,-4.424,1
Headphones,https://open.spotify.com/track/1R7WcoUBGKJY15HGQxb62G,117.056,0.531,0.887,0.0159,0.772,-5.389,1
Late Night Talking,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK,114.996,0.728,0.714,0.298,0.901,-4.595,1
Call Out My Name,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,134.165,0.593,0.461,0.165,0.174,-4.954,1
One Right Now (with The Weeknd),https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj,97.014,0.781,0.687,0.0361,0.688,-4.806,1
Let You Down,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL,147.998,0.714,0.661,0.314,0.464,-5.68,0
THOUSAND MILES,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg,80.565,0.657,0.376,0.0858,0.203,-4.658,1
Numb,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL,119.966,0.774,0.912,0.121,0.632,-4.673,0
Just Look Up (From Don’t Look Up),https://open.spotify.com/track/3QPBocWfIcOCdFFvmqn60F,130.043,0.581,0.566,0.216,0.152,-5.181,1
Wrapped Around Your Finger,https://open.spotify.com/track/5CtPTzdOkkb8Bhy5JnUYyT,119.966,0.628,0.744,0.0493,0.539,-5.435,1
Waiting For Never,https://open.spotify.com/track/753lkDSNs2u188xbl8Vrnx,151.944,0.834,0.593,0.115,0.555,-3.738,0
I Like You (A Happier Song) (with Doja Cat),https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj,100.964,0.67,0.733,0.121,0.472,-6.009,1
Cooped Up (with Roddy Ricch),https://open.spotify.com/track/3RSNYrTfBFBv4NTRfKNp2M,93.923,0.773,0.669,0.038,0.377,-5.619,1
Viva La Vida,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,138.015,0.617,0.486,0.0954,0.417,-7.115,0
